 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 0; 15; 7; 1024; 0.00256; 0.05574; 0.00014; 0.00518;  0.15217; 0.00055;  0.00055; 0.00005 ;  50702.121728 ; 2.522772 ;
 1; 15; 7; 1024; 0.00008; 0.00150; 0.00010; 0.00349;  0.14653; 0.00054;  0.00054; 0.00002 ;  51074.051274 ; 2.215543 ;
 2; 15; 7; 1024; 0.00007; 0.00145; 0.00010; 0.00349;  0.14666; 0.00054;  0.00054; 0.00004 ;  50131.093361 ; 2.217502 ;
 3; 15; 7; 1024; 0.00007; 0.00147; 0.00010; 0.00349;  0.14684; 0.00054;  0.00054; 0.00002 ;  50034.913526 ; 2.220141 ;
 4; 15; 7; 1024; 0.00007; 0.00143; 0.00010; 0.00349;  0.14672; 0.00054;  0.00054; 0.00002 ;  50142.514082 ; 2.218177 ;
 0; 15; 7; 2048; 0.00007; 0.00143; 0.00010; 0.00349;  0.14778; 0.00103;  0.00103; 0.00004 ;  50219.190647 ; 2.243144 ;
 1; 15; 7; 2048; 0.00009; 0.00156; 0.00010; 0.00349;  0.14769; 0.00103;  0.00103; 0.00002 ;  49430.747332 ; 2.243092 ;
 2; 15; 7; 2048; 0.00008; 0.00145; 0.00010; 0.00349;  0.14858; 0.00103;  0.00103; 0.00005 ;  49650.260839 ; 2.255373 ;
 3; 15; 7; 2048; 0.00008; 0.00146; 0.00010; 0.00352;  0.14855; 0.00104;  0.00104; 0.00002 ;  49769.571759 ; 2.255117 ;
 4; 15; 7; 2048; 0.00008; 0.00143; 0.00010; 0.00352;  0.14864; 0.00104;  0.00104; 0.00002 ;  50716.369966 ; 2.256444 ;
 0; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00353;  0.17865; 0.00203;  0.00203; 0.00005 ;  49941.105283 ; 2.724955 ;
 1; 15; 7; 4096; 0.00009; 0.00144; 0.00010; 0.00351;  0.17814; 0.00203;  0.00203; 0.00002 ;  49069.526420 ; 2.717492 ;
 2; 15; 7; 4096; 0.00009; 0.00139; 0.00010; 0.00351;  0.17916; 0.00203;  0.00203; 0.00002 ;  49215.809036 ; 2.732717 ;
 3; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00351;  0.17844; 0.00203;  0.00203; 0.00002 ;  49393.717180 ; 2.721619 ;
 4; 15; 7; 4096; 0.00009; 0.00142; 0.00010; 0.00351;  0.17908; 0.00203;  0.00203; 0.00002 ;  50005.647625 ; 2.731403 ;
 0; 15; 7; 8192; 0.00010; 0.00145; 0.00010; 0.00351;  0.40437; 0.00401;  0.00401; 0.00005 ;  49626.175066 ; 6.148247 ;
 1; 15; 7; 8192; 0.00010; 0.00140; 0.00010; 0.00351;  0.40688; 0.00404;  0.00404; 0.00002 ;  49714.437373 ; 6.186730 ;
 2; 15; 7; 8192; 0.00011; 0.00129; 0.00010; 0.00354;  0.40529; 0.00404;  0.00404; 0.00002 ;  48860.379907 ; 6.162155 ;
 3; 15; 7; 8192; 0.00010; 0.00144; 0.00010; 0.00354;  0.40850; 0.00405;  0.00405; 0.00005 ;  47873.595777 ; 6.211251 ;
 4; 15; 7; 8192; 0.00011; 0.00141; 0.00010; 0.00355;  0.40542; 0.00406;  0.00406; 0.00002 ;  50091.404639 ; 6.164788 ;
 0; 15; 8; 1024; 0.00253; 0.03165; 0.00027; 0.00713;  0.24437; 0.00104;  0.00104; 0.00005 ;  63267.832239 ; 3.858716 ;
 1; 15; 8; 1024; 0.00008; 0.00277; 0.00019; 0.00495;  0.24178; 0.00104;  0.00104; 0.00005 ;  62839.424798 ; 3.656132 ;
 2; 15; 8; 1024; 0.00008; 0.00250; 0.00019; 0.00494;  0.24307; 0.00104;  0.00104; 0.00003 ;  63364.883989 ; 3.675316 ;
 3; 15; 8; 1024; 0.00008; 0.00278; 0.00019; 0.00497;  0.24335; 0.00104;  0.00104; 0.00005 ;  63446.061466 ; 3.679963 ;
 4; 15; 8; 1024; 0.00008; 0.00269; 0.00019; 0.00498;  0.24367; 0.00105;  0.00105; 0.00005 ;  64315.642260 ; 3.684247 ;
 0; 15; 8; 2048; 0.00009; 0.00278; 0.00019; 0.00499;  0.24761; 0.00201;  0.00201; 0.00002 ;  63957.496857 ; 3.759870 ;
 1; 15; 8; 2048; 0.00009; 0.00247; 0.00019; 0.00499;  0.24902; 0.00202;  0.00202; 0.00005 ;  64682.833491 ; 3.780733 ;
 2; 15; 8; 2048; 0.00009; 0.00269; 0.00019; 0.00500;  0.24913; 0.00202;  0.00202; 0.00002 ;  64374.188658 ; 3.783004 ;
 3; 15; 8; 2048; 0.00008; 0.00258; 0.00019; 0.00500;  0.25037; 0.00202;  0.00202; 0.00002 ;  62951.362996 ; 3.800932 ;
 4; 15; 8; 2048; 0.00008; 0.00276; 0.00019; 0.00502;  0.24982; 0.00202;  0.00202; 0.00002 ;  63418.933313 ; 3.793583 ;
 0; 15; 8; 4096; 0.00009; 0.00284; 0.00019; 0.00502;  0.32684; 0.00397;  0.00397; 0.00005 ;  63243.503478 ; 5.010031 ;
 1; 15; 8; 4096; 0.00009; 0.00284; 0.00019; 0.00502;  0.32942; 0.00397;  0.00397; 0.00002 ;  63783.791598 ; 5.020897 ;
 2; 15; 8; 4096; 0.00010; 0.00277; 0.00019; 0.00505;  0.33168; 0.00400;  0.00400; 0.00002 ;  63464.841529 ; 5.055429 ;
 3; 15; 8; 4096; 0.00012; 0.00251; 0.00020; 0.00507;  0.32882; 0.00400;  0.00400; 0.00003 ;  61524.633840 ; 5.012504 ;
 4; 15; 8; 4096; 0.00009; 0.00261; 0.00019; 0.00507;  0.32894; 0.00400;  0.00400; 0.00009 ;  63813.186307 ; 5.014328 ;
 0; 15; 8; 8192; 0.00010; 0.00261; 0.00020; 0.00511;  0.94268; 0.00798;  0.00798; 0.00004 ;  62602.909158 ; 14.288600 ;
 1; 15; 8; 8192; 0.00010; 0.00264; 0.00020; 0.00509;  0.94016; 0.00804;  0.00804; 0.00005 ;  62810.430413 ; 14.251195 ;
 2; 15; 8; 8192; 0.00011; 0.00260; 0.00020; 0.00514;  0.94627; 0.00806;  0.00806; 0.00012 ;  62155.405394 ; 14.343575 ;
 3; 15; 8; 8192; 0.00011; 0.00263; 0.00020; 0.00514;  0.94459; 0.00805;  0.00805; 0.00003 ;  63125.324773 ; 14.318437 ;
 4; 15; 8; 8192; 0.00012; 0.00279; 0.00020; 0.00514;  0.94929; 0.00805;  0.00805; 0.00003 ;  62711.127516 ; 14.388348 ;
 0; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 1; 15; 9; 1024; 0.00008; 0.01409; 0.00123; 0.02925;  2.30317; 0.00728;  0.00728; 0.00006 ;  77667.855748 ; 34.718275 ;
 2; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 3; 15; 9; 1024; 0.00008; 0.01409; 0.00123; 0.02925;  2.30317; 0.00728;  0.00728; 0.00006 ;  77667.855748 ; 34.718275 ;
 4; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 0; 15; 9; 2048; 0.00009; 0.01807; 0.00123; 0.02906;  2.58644; 0.01443;  0.01443; 0.00006 ;  77635.356396 ; 39.080000 ;
 1; 15; 9; 2048; 0.00009; 0.01336; 0.00125; 0.02954;  2.60681; 0.01455;  0.01455; 0.00006 ;  76554.608479 ; 39.383098 ;
 2; 15; 9; 2048; 0.00009; 0.01807; 0.00123; 0.02906;  2.58644; 0.01443;  0.01443; 0.00006 ;  77635.356396 ; 39.080000 ;
 3; 15; 9; 2048; 0.00009; 0.01336; 0.00125; 0.02954;  2.60681; 0.01455;  0.01455; 0.00006 ;  76554.608479 ; 39.383098 ;
 4; 15; 9; 2048; 0.00009; 0.01807; 0.00123; 0.02906;  2.58644; 0.01443;  0.01443; 0.00006 ;  77635.356396 ; 39.080000 ;
 0; 15; 9; 4096; 0.00010; 0.01376; 0.00126; 0.02971;  4.66686; 0.02898;  0.02898; 0.00007 ;  76467.080284 ; 70.504648 ;
 1; 15; 9; 4096; 0.00010; 0.01782; 0.00128; 0.02993;  4.68290; 0.02901;  0.02901; 0.00007 ;  76338.988508 ; 70.755002 ;
 2; 15; 9; 4096; 0.00010; 0.01376; 0.00126; 0.02971;  4.66686; 0.02898;  0.02898; 0.00007 ;  76467.080284 ; 70.504648 ;
 3; 15; 9; 4096; 0.00010; 0.01782; 0.00128; 0.02993;  4.68290; 0.02901;  0.02901; 0.00007 ;  76338.988508 ; 70.755002 ;
 4; 15; 9; 4096; 0.00010; 0.01376; 0.00126; 0.02971;  4.66686; 0.02898;  0.02898; 0.00007 ;  76467.080284 ; 70.504648 ;
 0; 15; 9; 8192; 0.00011; 0.01458; 0.00126; 0.02975;  10.03828; 0.05859;  0.05859; 0.00009 ;  76172.296216 ; 151.530873 ;
 1; 15; 9; 8192; 0.00012; 0.01413; 0.00133; 0.03088;  10.01874; 0.05878;  0.05878; 0.00012 ;  76469.165243 ; 151.242895 ;
 2; 15; 9; 8192; 0.00011; 0.01458; 0.00126; 0.02975;  10.03828; 0.05859;  0.05859; 0.00009 ;  76172.296216 ; 151.530873 ;
 3; 15; 9; 8192; 0.00012; 0.01413; 0.00133; 0.03088;  10.01874; 0.05878;  0.05878; 0.00012 ;  76469.165243 ; 151.242895 ;
 4; 15; 9; 8192; 0.00011; 0.01458; 0.00126; 0.02975;  10.03828; 0.05859;  0.05859; 0.00009 ;  76172.296216 ; 151.530873 ;
 0; 15; 10; 1024; 0.00254; 0.09425; 0.00126; 0.02080;  1.66608; 0.00531;  0.00531; 0.00007 ;  342447.279267 ; 25.323857 ;
 1; 15; 10; 1024; 0.00008; 0.01140; 0.00088; 0.01446;  1.67457; 0.00535;  0.00535; 0.00006 ;  341617.191735 ; 25.238268 ;
 2; 15; 10; 1024; 0.00008; 0.01153; 0.00089; 0.01453;  1.68480; 0.00538;  0.00538; 0.00009 ;  344592.259100 ; 25.393429 ;
 3; 15; 10; 1024; 0.00009; 0.01047; 0.00089; 0.01454;  1.69338; 0.00540;  0.00540; 0.00007 ;  339262.350009 ; 25.523840 ;
 4; 15; 10; 1024; 0.00008; 0.01169; 0.00089; 0.01467;  1.69623; 0.00542;  0.00542; 0.00004 ;  340313.595564 ; 25.564421 ;
 0; 15; 10; 2048; 0.00009; 0.01077; 0.00089; 0.01466;  1.73545; 0.01048;  0.01048; 0.00009 ;  333450.046232 ; 26.231241 ;
 1; 15; 10; 2048; 0.00009; 0.01083; 0.00090; 0.01477;  1.73887; 0.01054;  0.01054; 0.00004 ;  342300.346574 ; 26.283336 ;
 2; 15; 10; 2048; 0.00009; 0.01305; 0.00090; 0.01480;  1.73934; 0.01054;  0.01054; 0.00008 ;  343261.528432 ; 26.292387 ;
 3; 15; 10; 2048; 0.00009; 0.01115; 0.00090; 0.01478;  1.74528; 0.01054;  0.01054; 0.00004 ;  340379.688029 ; 26.379787 ;
 4; 15; 10; 2048; 0.00009; 0.01200; 0.00092; 0.01478;  1.74294; 0.01054;  0.01054; 0.00008 ;  336412.119559 ; 26.348672 ;
 0; 15; 10; 4096; 0.00010; 0.01077; 0.00090; 0.01478;  2.83396; 0.02077;  0.02077; 0.00005 ;  338471.996569 ; 42.868434 ;
 1; 15; 10; 4096; 0.00010; 0.01073; 0.00090; 0.01487;  2.84676; 0.02090;  0.02090; 0.00008 ;  341475.732806 ; 43.060678 ;
 2; 15; 10; 4096; 0.00010; 0.01159; 0.00091; 0.01487;  2.83804; 0.02102;  0.02102; 0.00007 ;  334227.380581 ; 42.946830 ;
 3; 15; 10; 4096; 0.00010; 0.01248; 0.00097; 0.01580;  2.86957; 0.02102;  0.02102; 0.00007 ;  340810.784925 ; 43.410021 ;
 4; 15; 10; 4096; 0.00010; 0.01125; 0.00091; 0.01487;  2.88804; 0.02102;  0.02102; 0.00007 ;  338727.318400 ; 43.682390 ;
 0; 15; 10; 8192; 0.00011; 0.01091; 0.00090; 0.01486;  6.04350; 0.04218;  0.04218; 0.00010 ;  331389.070943 ; 91.339925 ;
 1; 15; 10; 8192; 0.00012; 0.01154; 0.00091; 0.01493;  6.05972; 0.04227;  0.04227; 0.00011 ;  338654.437160 ; 91.588900 ;
 2; 15; 10; 8192; 0.00012; 0.01076; 0.00096; 0.01573;  6.07948; 0.04190;  0.04190; 0.00008 ;  337079.960569 ; 91.875803 ;
 3; 15; 10; 8192; 0.00012; 0.01057; 0.00090; 0.01487;  6.05495; 0.04211;  0.04211; 0.00069 ;  336922.605886 ; 91.510734 ;
 4; 15; 10; 8192; 0.00012; 0.01389; 0.00091; 0.01496;  6.04588; 0.04214;  0.04214; 0.00179 ;  340778.189008 ; 91.379640 ;
 0; 15; 11; 1024; 0.00257; 0.08825; 0.00669; 0.12882;  16.69943; 0.02934;  0.02934; 0.00009 ;  517898.234436 ; 251.412510 ;
 1; 15; 11; 1024; 0.00257; 0.08825; 0.00669; 0.12882;  16.69943; 0.02934;  0.02934; 0.00009 ;  517898.234436 ; 251.412510 ;
 2; 15; 11; 1024; 0.00257; 0.08825; 0.00669; 0.12882;  16.69943; 0.02934;  0.02934; 0.00009 ;  517898.234436 ; 251.412510 ;
 3; 15; 11; 1024; 0.00257; 0.08825; 0.00669; 0.12882;  16.69943; 0.02934;  0.02934; 0.00009 ;  517898.234436 ; 251.412510 ;
 4; 15; 11; 1024; 0.00257; 0.08825; 0.00669; 0.12882;  16.69943; 0.02934;  0.02934; 0.00009 ;  517898.234436 ; 251.412510 ;
 0; 15; 11; 2048; 0.00009; 0.09232; 0.00500; 0.09647;  19.45177; 0.05818;  0.05818; 0.00014 ;  514207.738542 ; 292.912961 ;
 1; 15; 11; 2048; 0.00009; 0.09232; 0.00500; 0.09647;  19.45177; 0.05818;  0.05818; 0.00014 ;  514207.738542 ; 292.912961 ;
 2; 15; 11; 2048; 0.00009; 0.09232; 0.00500; 0.09647;  19.45177; 0.05818;  0.05818; 0.00014 ;  514207.738542 ; 292.912961 ;
 3; 15; 11; 2048; 0.00009; 0.09232; 0.00500; 0.09647;  19.45177; 0.05818;  0.05818; 0.00014 ;  514207.738542 ; 292.912961 ;
 4; 15; 11; 2048; 0.00009; 0.09232; 0.00500; 0.09647;  19.45177; 0.05818;  0.05818; 0.00014 ;  514207.738542 ; 292.912961 ;
 0; 15; 11; 4096; 0.00011; 0.10192; 0.00500; 0.09591;  28.43355; 0.11698;  0.11698; 0.00005 ;  512547.356258 ; 428.534431 ;
 1; 15; 11; 4096; 0.00011; 0.10192; 0.00500; 0.09591;  28.43355; 0.11698;  0.11698; 0.00005 ;  512547.356258 ; 428.534431 ;
 2; 15; 11; 4096; 0.00011; 0.10192; 0.00500; 0.09591;  28.43355; 0.11698;  0.11698; 0.00005 ;  512547.356258 ; 428.534431 ;
 3; 15; 11; 4096; 0.00011; 0.10192; 0.00500; 0.09591;  28.43355; 0.11698;  0.11698; 0.00005 ;  512547.356258 ; 428.534431 ;
 4; 15; 11; 4096; 0.00011; 0.10192; 0.00500; 0.09591;  28.43355; 0.11698;  0.11698; 0.00005 ;  512547.356258 ; 428.534431 ;
 0; 15; 11; 8192; 0.00011; 0.09263; 0.00504; 0.09679;  59.72695; 0.23350;  0.23350; 0.00005 ;  511758.705770 ; 899.669064 ;
 1; 15; 11; 8192; 0.00011; 0.09263; 0.00504; 0.09679;  59.72695; 0.23350;  0.23350; 0.00005 ;  511758.705770 ; 899.669064 ;
 2; 15; 11; 8192; 0.00011; 0.09263; 0.00504; 0.09679;  59.72695; 0.23350;  0.23350; 0.00005 ;  511758.705770 ; 899.669064 ;
 3; 15; 11; 8192; 0.00011; 0.09263; 0.00504; 0.09679;  59.72695; 0.23350;  0.23350; 0.00005 ;  511758.705770 ; 899.669064 ;
 4; 15; 11; 8192; 0.00011; 0.09263; 0.00504; 0.09679;  59.72695; 0.23350;  0.23350; 0.00005 ;  511758.705770 ; 899.669064 ;
 0; 15; 12; 1024; 0.00255; 0.05636; 0.00078; 0.01478;  0.88427; 0.00332;  0.00332; 0.00005 ;  11328.951506 ; 13.550886 ;
 1; 15; 12; 1024; 0.00008; 0.00721; 0.00055; 0.01007;  0.88198; 0.00333;  0.00333; 0.00005 ;  11451.091793 ; 13.306372 ;
 2; 15; 12; 1024; 0.00008; 0.00735; 0.00056; 0.01011;  0.88427; 0.00334;  0.00334; 0.00005 ;  11459.131335 ; 13.341960 ;
 3; 15; 12; 1024; 0.00008; 0.00643; 0.00056; 0.01012;  0.88478; 0.00333;  0.00333; 0.00002 ;  11437.947279 ; 13.348789 ;
 4; 15; 12; 1024; 0.00009; 0.00701; 0.00056; 0.01013;  0.88021; 0.00334;  0.00334; 0.00005 ;  11457.163370 ; 13.279873 ;
 0; 15; 12; 2048; 0.00009; 0.00751; 0.00056; 0.01013;  0.90413; 0.00646;  0.00646; 0.00003 ;  11356.519355 ; 13.694141 ;
 1; 15; 12; 2048; 0.00009; 0.00636; 0.00056; 0.01020;  0.90725; 0.00647;  0.00647; 0.00006 ;  11385.008442 ; 13.734939 ;
 2; 15; 12; 2048; 0.00009; 0.00692; 0.00056; 0.01018;  0.90684; 0.00647;  0.00647; 0.00003 ;  11426.767878 ; 13.728933 ;
 3; 15; 12; 2048; 0.00008; 0.00859; 0.00056; 0.01021;  0.91434; 0.00651;  0.00651; 0.00002 ;  11443.506072 ; 13.843382 ;
 4; 15; 12; 2048; 0.00008; 0.00621; 0.00056; 0.01025;  0.91365; 0.00652;  0.00652; 0.00002 ;  11289.281795 ; 13.831358 ;
 0; 15; 12; 4096; 0.00010; 0.00695; 0.00057; 0.01025;  1.62568; 0.01285;  0.01285; 0.00007 ;  11275.163757 ; 24.611695 ;
 1; 15; 12; 4096; 0.00009; 0.01065; 0.00057; 0.01034;  1.62285; 0.01292;  0.01292; 0.00003 ;  11364.356815 ; 24.574161 ;
 2; 15; 12; 4096; 0.00009; 0.00685; 0.00057; 0.01034;  1.62364; 0.01293;  0.01293; 0.00006 ;  11217.853289 ; 24.583890 ;
 3; 15; 12; 4096; 0.00009; 0.00600; 0.00057; 0.01038;  1.62646; 0.01302;  0.01302; 0.00003 ;  11165.855336 ; 24.625439 ;
 4; 15; 12; 4096; 0.00009; 0.00702; 0.00057; 0.01045;  1.64194; 0.01315;  0.01315; 0.00003 ;  11269.899099 ; 24.861045 ;
 0; 15; 12; 8192; 0.00011; 0.00649; 0.00058; 0.01056;  3.74806; 0.02696;  0.02696; 0.00008 ;  11215.611306 ; 56.667882 ;
 1; 15; 12; 8192; 0.00013; 0.00827; 0.00067; 0.01229;  3.78286; 0.02761;  0.02761; 0.00008 ;  11372.808321 ; 57.206467 ;
 2; 15; 12; 8192; 0.00011; 0.00698; 0.00059; 0.01073;  3.78510; 0.02719;  0.02719; 0.00009 ;  11326.880811 ; 57.227807 ;
 3; 15; 12; 8192; 0.00013; 0.00677; 0.00067; 0.01227;  3.80014; 0.02733;  0.02733; 0.00007 ;  11229.742143 ; 57.457792 ;
 4; 15; 12; 8192; 0.00011; 0.00596; 0.00059; 0.01071;  3.80156; 0.02748;  0.02748; 0.00008 ;  11199.919754 ; 57.478691 ;






